MQ2,MQ135,MQ136,VOC,Odor
741,488,119,81,Smoke
645,576,115,99,Smoke
631,591,113,91,Smoke
714,545,132,93,Smoke
722,594,117,76,Smoke
675,583,106,91,Smoke
703,552,121,69,Smoke
735,556,101,61,Smoke
655,497,131,84,Smoke
692,567,94,98,Smoke
705,478,115,94,Smoke
657,533,107,100,Smoke
723,470,95,73,Smoke
723,564,118,92,Smoke
652,525,128,98,Smoke
712,465,92,83,Smoke
749,479,96,80,Smoke
736,481,117,50,Smoke
631,540,104,91,Smoke
657,514,109,82,Smoke
692,486,95,76,Smoke
712,561,135,85,Smoke
695,496,112,86,Smoke
670,468,107,71,Smoke
738,551,106,80,Smoke
745,555,94,52,Smoke
742,455,126,67,Smoke
651,452,126,92,Smoke
755,574,97,86,Smoke
736,585,131,74,Smoke
706,506,115,72,Smoke
722,462,122,100,Smoke
629,540,127,96,Smoke
632,585,118,66,Smoke
745,470,132,70,Smoke
687,543,90,64,Smoke
751,566,106,83,Smoke
718,496,127,53,Smoke
671,575,139,71,Smoke
733,464,94,50,Smoke
716,583,127,96,Smoke
659,471,93,55,Smoke
650,508,90,99,Smoke
634,589,108,74,Smoke
690,502,96,70,Smoke
643,555,91,54,Smoke
686,523,102,56,Smoke
752,509,99,69,Smoke
737,577,116,74,Smoke
627,540,103,51,Smoke
731,540,90,53,Smoke
653,553,118,92,Smoke
743,455,115,72,Smoke
706,574,119,95,Smoke
625,511,95,83,Smoke
677,487,110,69,Smoke
675,570,123,97,Smoke
681,507,126,57,Smoke
676,466,105,85,Smoke
746,469,106,56,Smoke
711,452,136,52,Smoke
654,516,104,63,Smoke
656,465,118,73,Smoke
669,452,110,98,Smoke
701,494,102,81,Smoke
741,537,134,56,Smoke
714,573,96,77,Smoke
659,503,139,58,Smoke
716,454,100,90,Smoke
722,576,98,71,Smoke
620,473,121,79,Smoke
711,583,93,59,Smoke
630,460,110,91,Smoke
731,542,113,63,Smoke
634,576,95,57,Smoke
658,503,124,84,Smoke
713,506,99,59,Smoke
753,489,131,64,Smoke
753,503,129,66,Smoke
736,534,138,74,Smoke
732,480,97,52,Smoke
622,550,101,94,Smoke
668,596,132,97,Smoke
696,532,134,63,Smoke
666,536,117,61,Smoke
706,560,99,76,Smoke
739,456,133,54,Smoke
719,530,126,72,Smoke
673,522,126,50,Smoke
711,494,119,70,Smoke
656,528,138,64,Smoke
266,300,51,224,Coffee
238,337,84,241,Coffee
202,348,68,213,Coffee
255,257,74,222,Coffee
248,279,85,291,Coffee
271,345,51,204,Coffee
257,269,76,210,Coffee
277,305,83,237,Coffee
268,336,57,213,Coffee
219,289,62,203,Coffee
187,296,65,219,Coffee
204,299,74,212,Coffee
239,256,80,231,Coffee
223,300,85,239,Coffee
279,331,77,257,Coffee
182,256,85,276,Coffee
229,332,60,293,Coffee
272,284,73,265,Coffee
193,344,79,266,Coffee
249,317,67,273,Coffee
263,283,50,280,Coffee
216,343,58,212,Coffee
263,295,58,258,Coffee
208,263,60,216,Coffee
255,313,65,280,Coffee
224,258,50,298,Coffee
225,344,68,294,Coffee
226,311,56,290,Coffee
206,300,64,272,Coffee
248,294,70,254,Coffee
247,275,73,228,Coffee
227,266,75,224,Coffee
220,349,68,265,Coffee
233,270,65,238,Coffee
186,339,83,264,Coffee
220,301,73,254,Coffee
189,289,70,258,Coffee
262,328,73,232,Coffee
237,326,82,234,Coffee
214,286,65,233,Coffee
274,291,77,204,Coffee
270,317,58,206,Coffee
194,253,86,228,Coffee
200,289,84,210,Coffee
210,255,84,214,Coffee
272,310,55,215,Coffee
231,292,83,288,Coffee
210,281,67,225,Coffee
184,266,73,263,Coffee
242,293,58,243,Coffee
278,307,62,221,Coffee
259,333,55,204,Coffee
186,328,62,260,Coffee
214,269,84,243,Coffee
233,270,64,211,Coffee
186,273,59,291,Coffee
271,283,58,213,Coffee
271,323,89,231,Coffee
188,267,72,256,Coffee
259,291,73,276,Coffee
246,266,81,243,Coffee
182,294,63,251,Coffee
246,258,73,275,Coffee
240,284,87,289,Coffee
190,256,56,294,Coffee
202,308,56,288,Coffee
206,299,69,273,Coffee
262,331,70,231,Coffee
181,338,78,283,Coffee
256,333,76,293,Coffee
217,277,71,286,Coffee
186,261,78,249,Coffee
242,312,57,226,Coffee
269,323,90,300,Coffee
203,281,89,254,Coffee
246,307,76,277,Coffee
224,349,75,285,Coffee
185,270,71,228,Coffee
211,278,83,256,Coffee
250,340,82,205,Coffee
220,310,82,244,Coffee
191,341,69,280,Coffee
206,258,71,237,Coffee
279,348,83,244,Coffee
202,313,62,213,Coffee
270,326,52,296,Coffee
208,302,68,215,Coffee
242,345,61,274,Coffee
182,284,75,264,Coffee
269,285,81,287,Coffee
257,323,66,260,Coffee
237,311,57,291,Coffee
206,330,78,255,Coffee
279,258,86,281,Coffee
267,264,83,276,Coffee
246,335,61,223,Coffee
279,260,78,248,Coffee
209,291,84,255,Coffee
250,262,87,282,Coffee
272,284,52,281,Coffee
235,275,55,421,Perfume
223,317,67,369,Perfume
161,241,63,381,Perfume
195,266,55,425,Perfume
159,271,65,339,Perfume
238,234,44,388,Perfume
196,262,59,378,Perfume
177,242,75,420,Perfume
208,248,67,323,Perfume
208,233,73,387,Perfume
248,273,51,326,Perfume
186,303,54,415,Perfume
201,247,63,418,Perfume
202,250,68,341,Perfume
198,247,40,439,Perfume
213,251,58,323,Perfume
247,272,66,333,Perfume
172,283,66,412,Perfume
193,225,67,382,Perfume
193,242,44,386,Perfume
157,293,67,442,Perfume
160,304,41,436,Perfume
179,226,75,383,Perfume
198,294,76,394,Perfume
201,225,71,329,Perfume
178,280,76,404,Perfume
246,294,47,449,Perfume
215,256,74,347,Perfume
171,313,60,421,Perfume
179,268,51,342,Perfume
155,262,65,425,Perfume
159,309,44,339,Perfume
241,314,60,351,Perfume
162,302,42,371,Perfume
249,277,74,352,Perfume
164,284,73,447,Perfume
192,290,61,391,Perfume
219,246,74,437,Perfume
193,273,69,418,Perfume
181,230,43,396,Perfume
173,277,50,323,Perfume
171,289,50,328,Perfume
188,298,66,322,Perfume
197,308,77,343,Perfume
213,281,55,320,Perfume
222,277,53,407,Perfume
183,313,41,385,Perfume
222,225,51,367,Perfume
184,319,53,407,Perfume
235,251,62,322,Perfume
197,259,78,376,Perfume
183,282,40,398,Perfume
249,289,65,450,Perfume
224,262,65,390,Perfume
223,260,70,357,Perfume
204,274,55,400,Perfume
175,223,63,442,Perfume
221,290,78,390,Perfume
174,229,45,385,Perfume
243,224,41,450,Perfume
189,222,80,443,Perfume
171,311,74,388,Perfume
150,282,73,433,Perfume
157,258,43,348,Perfume
152,287,59,330,Perfume
207,252,53,387,Perfume
213,272,53,336,Perfume
192,296,45,325,Perfume
157,230,42,387,Perfume
169,247,51,360,Perfume
177,274,56,440,Perfume
249,312,60,446,Perfume
216,282,77,327,Perfume
222,239,68,437,Perfume
160,256,70,395,Perfume
213,319,79,400,Perfume
187,252,42,410,Perfume
161,316,46,328,Perfume
176,291,78,344,Perfume
160,314,79,326,Perfume
212,239,48,383,Perfume
202,280,72,401,Perfume
163,242,47,450,Perfume
177,262,65,351,Perfume
241,288,72,405,Perfume
195,276,77,353,Perfume
230,301,60,388,Perfume
189,308,62,398,Perfume
243,266,56,361,Perfume
225,226,43,417,Perfume
161,230,80,337,Perfume
248,302,42,415,Perfume
168,220,59,419,Perfume
227,250,40,421,Perfume
151,265,46,386,Perfume
200,292,51,420,Perfume
199,221,48,339,Perfume
230,302,52,375,Perfume
220,249,41,432,Perfume
204,315,66,325,Perfume
329,559,187,220,Spoiled Food
412,481,196,189,Spoiled Food
309,583,200,142,Spoiled Food
384,521,178,159,Spoiled Food
370,468,215,187,Spoiled Food
445,500,209,189,Spoiled Food
419,556,178,150,Spoiled Food
345,527,193,163,Spoiled Food
446,587,192,159,Spoiled Food
300,573,180,151,Spoiled Food
370,566,158,198,Spoiled Food
443,577,209,141,Spoiled Food
357,562,154,144,Spoiled Food
329,508,219,142,Spoiled Food
421,477,159,177,Spoiled Food
377,509,203,184,Spoiled Food
366,539,200,207,Spoiled Food
362,577,157,170,Spoiled Food
437,547,181,219,Spoiled Food
427,540,206,206,Spoiled Food
416,595,195,201,Spoiled Food
401,551,210,177,Spoiled Food
321,491,228,174,Spoiled Food
322,588,153,197,Spoiled Food
403,499,196,211,Spoiled Food
434,511,195,172,Spoiled Food
328,476,162,165,Spoiled Food
421,594,157,164,Spoiled Food
433,459,170,196,Spoiled Food
308,531,190,185,Spoiled Food
379,570,170,200,Spoiled Food
430,482,204,197,Spoiled Food
386,517,156,141,Spoiled Food
352,584,174,168,Spoiled Food
433,484,182,220,Spoiled Food
437,515,159,176,Spoiled Food
367,584,186,205,Spoiled Food
422,578,169,164,Spoiled Food
336,503,178,151,Spoiled Food
403,563,187,159,Spoiled Food
397,559,216,204,Spoiled Food
353,487,177,207,Spoiled Food
385,456,188,192,Spoiled Food
430,496,192,202,Spoiled Food
377,491,175,194,Spoiled Food
336,456,164,182,Spoiled Food
448,486,215,192,Spoiled Food
388,521,196,193,Spoiled Food
302,545,178,189,Spoiled Food
449,557,204,146,Spoiled Food
315,505,185,154,Spoiled Food
326,550,167,168,Spoiled Food
431,462,220,195,Spoiled Food
358,460,190,186,Spoiled Food
402,597,177,147,Spoiled Food
312,595,173,169,Spoiled Food
384,565,162,161,Spoiled Food
366,514,162,156,Spoiled Food
413,461,225,202,Spoiled Food
305,577,225,183,Spoiled Food
300,523,172,148,Spoiled Food
369,505,225,217,Spoiled Food
367,579,198,194,Spoiled Food
421,546,172,176,Spoiled Food
321,535,227,205,Spoiled Food
389,515,204,185,Spoiled Food
401,556,206,196,Spoiled Food
420,600,226,202,Spoiled Food
427,527,230,197,Spoiled Food
308,492,223,191,Spoiled Food
427,541,191,202,Spoiled Food
347,556,192,143,Spoiled Food
316,480,214,170,Spoiled Food
420,585,172,168,Spoiled Food
408,548,180,204,Spoiled Food
303,468,210,201,Spoiled Food
344,520,181,189,Spoiled Food
391,510,225,143,Spoiled Food
351,486,199,187,Spoiled Food
343,450,225,142,Spoiled Food
304,492,221,163,Spoiled Food
312,595,228,204,Spoiled Food
319,596,171,183,Spoiled Food
408,527,183,169,Spoiled Food
322,584,224,143,Spoiled Food
307,464,226,186,Spoiled Food
368,481,204,181,Spoiled Food
391,486,228,163,Spoiled Food
429,496,161,217,Spoiled Food
369,459,182,155,Spoiled Food
348,560,167,178,Spoiled Food
361,490,229,172,Spoiled Food
430,498,174,154,Spoiled Food
340,502,202,204,Spoiled Food
387,586,220,148,Spoiled Food
450,524,183,217,Spoiled Food
335,547,198,165,Spoiled Food
389,533,196,157,Spoiled Food
427,452,212,169,Spoiled Food
397,550,161,187,Spoiled Food
